현장명,대지면적,건축면적,연면적,지하층수,지상층수,하역가능층수,최고높이,전체토공량,토목공사기간,골조공사기간,마감공사기간,전체공사기간,평균가동률,구조형식_PC,구조형식_RC,구조형식_SRC,구조형식_PEB,창고유형_상온,창고유형_저온,창고유형_냉동
BGF리테일 진천CDC 신축공사,27197,20327,59490,1,4,3,37.27,,,,,15.3,70,1,1,0,0,1,0,0
삼양사 풍세,27127,11473,19333,0,2,,,,,,,17.1,70,1,1,0,1,1,0,1
삼양사 인천,11570,6104,16956,0,4,3,30.9,,,,,18,70,1,1,0,0,1,0,1
동원물류 고매,36097,7194,59346,5,4,,42.59,,,,,,70,1,1,0,1,1,0,0
고양삼송물류센터,17445,10464,66051,2,8,6,39.9,,,,,22,70,1,0,0,0,1,0,0
풍농오산물류,43286,17140,96405,1,6,6,51.9,,,,,20,70,1,1,0,1,1,0,0
광주오포-A1,33482,19753,105841,2,4,6,58.46,,,,,17,70,1,1,0,0,1,0,0
광주오포-B2,23608,14092,39324,2,2,3,37.95,,,,,14,70,1,1,1,1,1,0,0
광주오포-A3,28998,16650,83698,3,4,,59.6,,,,,21.5,70,1,1,1,0,1,1,0
인천항동7가 물류센터 신축공사,26718,18618,133327,1,8,7,72.5,,,,,24,70,1,1,1,0,1,1,0
로지포트 오산,29935,5969,39920,3,3,4,,,,,,15,70,1,0,0,1,1,1,0
쿠팡 광주 물류센터,4565,3641,15307,1,6,4,49.3,,,,,11,70,1,1,1,0,0,1,0
안성 강문일반산업단지 1-1블럭 물류창고,8670,6663,24471,1,4,4,34,,,,,14,70,1,1,1,0,0,1,0
광주오포-B2,24303,14499,43692,1,3,4,44.56,,,,,13.5,70,1,1,1,1,1,0,0
용인 고안리 물류센터,29990,11932,44889,2,4,4,,,,,,17,70,1,0,0,1,1,1,0
K2여주물류 2차,30773,13462,50072,1,4,4,,,,,,13.5,70,0,1,1,0,1,0,0
이천 백사면 물류,47728,17305,64723,1,4,4,32.37,,,,,20,70,0,1,1,1,1,0,0
안양물류센터 재건축사업,15028,10409,94211,2,8,9,75.76,,,,,27,70,1,1,0,0,1,1,0
부산 장림동 물류창고,17064,11787,98704,5,10,,66.7,,,,,37,70,0,0,0,0,1,1,0
지오앤에스 용인물류,85336,16959,166428,5,4,7,60.42,894860,,,,32,70,1,1,0,0,1,1,1
용인 남사면 북리 물류센터,32717,22405,132002,1,5,6,62.5,336634,,,,21,70,1,0,0,0,1,1,0
아레나 안성물류센터,71281,29350,128306,3,3,4,,770014,,,,27,70,1,1,1,0,1,1,0
인천 원창동 물류센터,98905,68850,429499,1,10,6,67.7,147889,3,16,7,26,70,1,1,0,0,1,1,0
인천 석남 혁신물류센터,54324,37407,299252,1,8,8,79.87,808769,6,12,9,27,70,1,1,0,0,1,1,0
용인포곡스마트물류,84621,56531,356916,1,10,7,62.9,1714633,7,15,9,31,70,1,1,0,0,1,1,0
부천저온물류센터,16659,9918,58072,1,6,6,48.4,,2,10,8,18,70,1,1,0,0,0,0,1
양지물류센터,10913,6192,19012,1,5,4,43,,,,,13,70,1,1,0,0,0,0,1
군량리 물류창고,29974,11828,42768,2,4,4,34.4,,,,,17,70,1,0,0,1,1,1,0
포승산업단지 신양물류 냉동창고,7066,4499,21194,0,6,4,43.2,,,,,17,70,1,1,0,0,0,0,1
경기 안성 강문 일반산업단지 물류창고,8944,6236,26997,1,5,4,44.598,,,,,18,70,1,1,0,0,1,1,0
대구 수성구 물류센터 개발사업,17625,12302,75410,2,5,6,51,136857,4,11,9,24,70,1,0,0,0,1,0,0
평택 어연로지스,28430,11242,47248,1,4,,35.75,232669,5,8,6,19,70,1,0,0,1,1,0,0
인천 신항 콜드체인,118658,72531,338252,1,9,,,198900,8,12,10,30,70,1,1,0,0,0,0,1
남양주 팔야리 물류센터,54289,21484,90114,3,3,,,305749,15,13,8,36,70,1,1,0,0,1,1,0
용인 통삼 물류센터 2-2BL 당초,20814,12062,85759,1,9,7,,168613,7.5,15.5,6,29.1,70,1,0,0,0,1,1,0
용인 통삼 물류센터 2-2BL 변경,20814,12062,85759,0,9,7,,26747,4.9,15,6,26,70,1,0,0,0,1,1,0
용인 통삼 물류센터 1-1BL,28659,17129,119747,1,10,7,,125190,5.4,14.6,6,26,70,1,0,0,0,1,1,0
안성 CDC 물류센터,27764,11094,39769,1,4,,,132660,6.5,10.5,7,24,70,1,0,0,1,1,0,1
안성 당목리 물류센터,71495,39838,154448,3,3,,,10500,1.8,13.2,6,21,70,1,0,0,0,1,0,0
이천 호법 물류센터,,,,1,2,,,170000,6,10,6,22,70,1,1,0,0,1,0,0
여주 산북면 물류창고,34298,17087,49981,2,4,4,,300087,16.5,3.5,6,26,70,1,0,0,0,1,1,0
부산 해운대 물류센터,21579,14579,99836,0,8,,,25530,2.4,13.6,6,22,70,1,0,0,0,1,1,0
휴로스 당목리 물류센터,60562,26423,99984,1,4,,42.3,449352,6.7,13.3,5,25,70,1,0,0,0,1,0,0
일죽 A블럭,45085,26166,70845,1,4,,,10152,3.5,10.8,5,19,70,1,1,0,0,1,0,0
일죽 B블럭,24915,13071,35739,1,4,,,6291,1.2,9.1,4.5,15,70,1,1,0,0,1,0,0
용인 포곡 금어리 물류센터,30263,17482,68460,1,3,,,324322,8.4,10.2,7.5,26,70,1,1,1,0,1,1,0
쿠팡 김천FC 물류센터,87928,23434,30828,0,2,,,0,0,9.9,5,16,70,0,1,1,0,1,0,0
켄달 안평리 물류센터,26540,10028,37178,1,4,,,101549,4.6,10.4,5,23,70,1,1,0,0,1,0,0
화성시 덕우리 물류센터,29687,11863,46074,1,4,,,218877,5,,,,70,1,0,0,0,1,0,0
세종 미래산업단지 물류센터,51120,34468,164474,1,6,,,249160,10,14,6,30,70,1,1,0,0,1,1,0
울산 삼남 물류단지 농심 물류센터,46690,32568,166695,1,10,,,172814,7,13,5,25,70,1,1,0,0,1,0,0
미쓰이소꼬 코리아 부산 신항 창고,36780,6117,30317,0,6,,,3938,2.5,8.2,4,14.7,70,1,0,0,1,1,1,0
오포D 물류센터,38925,17993,101687,3,4,,,258695,12,18.2,5,35.2,70,1,1,0,0,1,0,0
